Customer Key,Original Name,Master Customer Name,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,Source
MAGNUMMECH_GP,"Magnum Piering , Inc.",Magnum Piering,Commercial Services,Body art services,8121,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,MECH_GP
TN991918SERV_GP,Malibu Boats,Malibu Boats,Manufacturing,Boat manufacturing,3366,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
CN992305SERV_GP,Mantis Innovation,Mantis Innovation,Commercial Services,Facility Management / Energy,541350,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,mantisinnovation.com,SERV_GP
TN200308SERV_GP,Manufacturing Science Corporation,Manufacturing Science,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Manufacturing Science Corporation'),,,SERV_GP
IN990460SERV_GP,Maranatha Haitian Sda Church,Maranatha Haitian Sda Church,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Maranatha Haitian Sda Church'),,,SERV_GP
IN990092SERV_GP,Marble Products International,Marble Products International,Manufacturing,Stone products,3279,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
LV990444SERV_GP,Mark Laughner,Mark Laughner,Individual / Misc,Individual,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
CN992212SERV_GP,Mark Spaulding Construction,Mark Spaulding Construction,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Mark Spaulding Construction'),,,SERV_GP
MARK SPAULDMECH_GP,Mark Spaulding Construction Company,Mark Spaulding Construction,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Mark Spaulding Construction'),,,MECH_GP
LX990410SERV_GP,Marksbury Farm,Marksbury Farm,Manufacturing,Meat Processing,311611,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,marksburyfarm.com,SERV_GP
CN992033SERV_GP,Mars Chocolate,Mars Chocolate,Manufacturing,Confectionery manufacturing,3113,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
WV990296SERV_GP,Marshall Health Network Arena,Marshall Health Network Arena,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Marshall Health Network Arena'),,,SERV_GP
WV990224SERV_GP,Marshall Recreation Center,Marshall Recreation Center,University / College,University Recreation,611310,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,marshall.edu,SERV_GP
LV990057SERV_GP,"Martinrea Heavy Stamping, Inc.",Martinrea Heavy Stamping,Manufacturing,Automotive stamping,3363,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
TN992110SERV_GP,Mary K. Briggs,Mary K Briggs,Individual / Misc,Individual,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
CN992190SERV_GP,Mary Queen Of Heaven Parish,Mary Queen of Heaven Parish,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Mary Queen Of Heaven Parish'),,,SERV_GP
LX000005SERV_GP,Mary Queen Of The Holy Rosary,Mary Queen of the Holy Rosary,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Mary Queen Of The Holy Rosary'),,,SERV_GP
DY990877SERV_GP,Mary Rutan Hospital,Mary Rutan Hospital,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Mary Rutan Hospital'),,,SERV_GP
MARYANNSTRAYLEYMECH_GP,Maryann Straley,Maryann Straley,Individual / Misc,Individual,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,MECH_GP
TN992140SERV_GP,Maryville College Facilities Dept,Maryville College Facilities Dept,University / College,,611,Rule-Based,,High,Matched education keyword; Deterministic keyword/pattern match (evidence: 'Maryville College Facilities Dept'),,,SERV_GP
NV00098SERV_GP,Masonite Corporation,Masonite,Manufacturing,Doors manufacturing,3219,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
CN890003SERV_GP,Mass Marketing Inc.,Mass Marketing,Commercial Services,Marketing Services,541810,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,massmarketinginc.com,SERV_GP
TN992215SERV_GP,"Massey Construction Inc, Dba Massey Mechanical",Massey Construction Dba Massey Mechanical,Construction,,23,Rule-Based,,High,"Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Massey Construction Inc, Dba Massey Mechanical')",,,SERV_GP
TN992108SERV_GP,Massey Services Inc,Massey Services,Commercial Services,Pest Control / Landscaping,561710,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,masseyservices.com,SERV_GP
MASTERS PHARMMECH_GP,Masters Pharmaceuticals,Masters Pharmaceuticals,Commercial Services,Pharmaceutical Distribution,424210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,mastersglobal.com,MECH_GP
LX990507SERV_GP,Mastronardi Berea Llc,Mastronardi Berea,Manufacturing,Greenhouse Farming / Food Mfg,111419,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,sunsetgrown.com,SERV_GP
MATANDY REALTYMECH_GP,Matandy Realty Ltd,Matandy Realty,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Matandy Realty Ltd'),,,MECH_GP
CN991256SERV_GP,Matandy Steel & Metal Products,Matandy Steel and Metal Products,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Matandy Steel & Metal Products'),,,SERV_GP
MATANDYMECH_GP,Matandy Steel & Metals,Matandy Steel and Metals,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Matandy Steel & Metals'),,,MECH_GP
DY991037SERV_GP,Matilda Development Llc,Matilda Development,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Matilda Development Llc'),,,SERV_GP
LV990441SERV_GP,Matrix Technologies,Matrix Technologies,Commercial Services,Engineering / Systems Integration,541512,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,matrixti.com,SERV_GP
NV00161SERV_GP,Matt Warren Rental,Matt Warren Rental,Commercial Real Estate,Property rental entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
NV15010SERV_GP,Matt Williams Residence,Matt Williams Residence,Commercial Real Estate,Residential entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
MATTARMECH_GP,Mattar Electic,Mattar Electic,Construction,Electrical contractor,2382,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,MECH_GP
CN991814SERV_GP,Max Technical Training,Max Technical Training,Commercial Services,IT Training,611420,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,maxtrain.com,SERV_GP
NV00156SERV_GP,Mayday Brewery,Mayday Brewery,Commercial Services,Brewery/taproom,3121,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,SERV_GP
MAYEMECH_GP,Mayers Construction,Mayers Construction,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Mayers Construction'),,,MECH_GP
MAYERSONMECH_GP,"Mayerson Company, The",Mayerson the,Commercial Real Estate,Real Estate Development,531110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,themayersoncompany.com,MECH_GP
MAYERSON JCCMECH_GP,Mayerson Jcc,Mayerson Jcc,Non-Profit / Religious,Community center nonprofit,8134,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,MECH_GP
MAYFIELDMECH_GP,Mayfield Clinic,Mayfield Clinic,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Mayfield Clinic'),,,MECH_GP
CN992277SERV_GP,Mayfield Medical Llc C/O Crown Medrealty,Mayfield Medical,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Mayfield Medical Llc C/O Crown Medrealty'),,,SERV_GP
CN992044SERV_GP,"Maywest, Llc",Maywest,Individual / Misc,,,Rule-Based,,High,"Matched personal-name pattern; Deterministic keyword/pattern match (evidence: 'Maywest, Llc')",,,SERV_GP
CN992125SERV_GP,Mazak,Mazak,Manufacturing,Machine tools manufacturing,3335,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
MAZAK CORPORATIMECH_GP,Mazak Corporation,Mazak,Manufacturing,Machine tools manufacturing,3335,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,MECH_GP
LX200421SERV_GP,Mbm Refrigeration,Mbm Refrigeration,Commercial Services,Commercial HVAC/R Services,811310,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,mbmrefrigeration.com,SERV_GP
IN990521SERV_GP,Mbx Biosciences Inc,Mbx Biosciences,Manufacturing,Biotech (verify mfg vs R&D),3254,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
TN991457SERV_GP,Mch Corporation,Mch,Commercial Real Estate,Real Estate Services,531210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
MCLANEMECH_GP,"Mclane Company, Inc.",Mclane,Commercial Services,Wholesale distribution,4244,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,MECH_GP
LX990395SERV_GP,Mclane Distribution,Mclane Distribution,Commercial Services,Wholesale distribution,4244,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
MCLANE FOODMECH_GP,Mclane Foodservice Distribution,Mclane Foodservice Distribution,Commercial Services,Wholesale distribution,4244,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,MECH_GP
LV990508SERV_GP,Mclean County Fiscal Court,Mclean County Fiscal Court,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Mclean County Fiscal Court'),,,SERV_GP
MCLEANMECH_GP,Mclean County Fiscal Court,Mclean County Fiscal Court,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Mclean County Fiscal Court'),,,MECH_GP
MCQUAY INTMECH_GP,Mcquay International,Mcquay International,Manufacturing,HVAC Equipment Mfg,333415,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,daikinapplied.com,MECH_GP
TN991428SERV_GP,Mcscrooge'S Wines & Spirits,Mcscrooges Wines and Spirits,Commercial Services,Alcohol retail,4453,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,SERV_GP
LX990365SERV_GP,Means Adult Primary Care Clinic,Means Adult Primary Care Clinic,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Means Adult Primary Care Clinic'),,,SERV_GP
MECHANICAL SYSMECH_GP,Mechanical Systems Of Dayton,Mechanical Systems of Dayton,Construction,Mechanical contractor,2382,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,MECH_GP
TN991908SERV_GP,Meco Corporation,Meco,Manufacturing,Consumer Goods Mfg (Grills),335220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,mecocorp.com,SERV_GP
TN992122SERV_GP,Medic Inc Dba Medic Regional Blood Center,Medic Dba Medic Regional Blood Center,Commercial Services,Blood center,6219,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
CN992031SERV_GP,Medicount Management,Medicount Management,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Medicount Management'),,,SERV_GP
MEDPACEMECH_GP,Medpace,Medpace,Healthcare / Senior Living,Clinical research organization,5417,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,MECH_GP
DY991005SERV_GP,Megacity Of Cincinnati Llc,Megacity of Cincinnati,Construction,General Contractor,236220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,megacityofcincinnati.com,SERV_GP
CN992193SERV_GP,Megan Carty,Megan Carty,Individual / Misc,Individual,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
MEGENMECH_GP,Megen Construction Co.,Megen Construction,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Megen Construction Co.'),,,MECH_GP
TN991223SERV_GP,"Melaleuca, Inc.",Melaleuca,Commercial Services,Consumer products (direct sales),4543,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
MELINKMECH_GP,Melink Corporation,Melink,Commercial Services,Energy efficiency services,5413,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,MECH_GP
CN990952SERV_GP,Melink Solar Llc,Melink Solar,Commercial Services,Energy efficiency services,5413,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
LV990327SERV_GP,Mellow River Inc Dba Hh2Home,Mellow River Dba HH2HOME,Commercial Services,Furniture Distribution,423210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
TN991465SERV_GP,Melrose Place Tennessee General Partnership (Dba Melrose Place),Melrose Place Tennessee General Partnership Dba Melrose Place,Commercial Real Estate,Property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
WV990300SERV_GP,Mercer County Board Of Education,Mercer County Board of Education,Public Schools (K–12),,611,Rule-Based,,High,Matched public school district keyword; Deterministic keyword/pattern match (evidence: 'Mercer County Board Of Education'),,,SERV_GP
LV990518SERV_GP,Mercy Academy,Mercy Academy,Private Schools (K–12),,611,Rule-Based,,High,Matched private school keyword; Deterministic keyword/pattern match (evidence: 'Mercy Academy'),,,SERV_GP
MERIMECH_GP,Meridian Management Corp.,Meridian Management,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Meridian Management Corp.'),,,MECH_GP
IN990345SERV_GP,"Merlin King, Inc.",Merlin King,Individual / Misc,Individual (verify),,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
MESSERMECH_GP,Messer Construction Co,Messer Construction,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Messer Construction Co'),,,MECH_GP
CN970192SERV_GP,Metal Improvement Company,Metal Improvement,Commercial Services,Metal fabrication/services,3323,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
CN991498SERV_GP,Metal Tech Building Specialists,Metal Tech Building Specialists,Construction,Metal building contractor,2362,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,SERV_GP
METALKRAFTMECH_GP,Metalkraft Coachwerkes,Metalkraft Coachwerkes,Commercial Services,Vehicle upfitting,3363,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,MECH_GP
LX990442SERV_GP,Metcalfe County Fiscal Court,Metcalfe County Fiscal Court,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Metcalfe County Fiscal Court'),,,SERV_GP
CN992227SERV_GP,Metzcor,Metzcor,Healthcare / Senior Living,Adult Day Care / Disability Services,624120,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,metzcor.com,SERV_GP
CN992302SERV_GP,Miami Valley Gaming &  Racing Llc,Miami Valley Gaming and Racing,Commercial Services,Gaming/casino,7132,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Hospitality,,SERV_GP
CN992144SERV_GP,Mid-America Mgmt/West Crescentville,Midamerica Mgmtwest Crescentville,Commercial Real Estate,Property mgmt/entity,5313,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
MIDDLE TENN UNIMECH_GP,Middle Tenneesse State University,Middle Tenneesse State University,University / College,,611,Rule-Based,,High,Matched education keyword; Deterministic keyword/pattern match (evidence: 'Middle Tenneesse State University'),,,MECH_GP
NV00080SERV_GP,Middle Tennessee Christian School,Middle Tennessee Christian School,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Middle Tennessee Christian School'),,,SERV_GP
MIDDLETOWN MGMNMECH_GP,Middletown Management,Middletown Management,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Middletown Management'),,,MECH_GP
TN992171SERV_GP,"Midpark Knoxville, Llc",Midpark Knoxville,Commercial Real Estate,Business Park,531120,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
NV15056SERV_GP,Midsouth Building Iii Reit Llc C/O Foundry Commercial,Midsouth Building III Reit,Commercial Real Estate,REIT/property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
CN992348SERV_GP,Mid-West Builders Inc,Midwest Builders,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Mid-West Builders Inc'),,,SERV_GP
CN950295SERV_GP,Midwest Eye Institute,Midwest Eye Institute,Healthcare / Senior Living,Eye care / clinic,6213,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
MIDWEST FINISHIMECH_GP,"Midwest Finishing Systems, Inc.",Midwest Finishing Systems,Commercial Services,Industrial finishing services,3328,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,MECH_GP
MIDWEST MOLDMECH_GP,Midwest Mold & Texture Corp,Midwest Mold and Texture,Commercial Services,Mold/texturing services,3335,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,MECH_GP
CN992013SERV_GP,Midwest Properties,Midwest Properties,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Midwest Properties'),,,SERV_GP
MIDWEST PROPMECH_GP,Midwest Properties,Midwest Properties,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Midwest Properties'),,,MECH_GP
TN992028SERV_GP,Mig Partners C/O Avison Young,Mig Partners,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Mig Partners C/O Avison Young'),,,SERV_GP
MIKE ALBERTMECH_GP,Mike Albert,Mike Albert,Commercial Services,Fleet/leasing services,5321,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,MECH_GP
CN992034SERV_GP,Milacron,Milacron,Manufacturing,Plastics machinery,3332,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
MILACRONMECH_GP,Milacron Plastics Technology Group,Milacron Plastics Technology Group,Manufacturing,Plastics machinery,3332,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,MECH_GP
IN200023SERV_GP,Milestone Contractors,Milestone Contractors,Construction,Civil contractor,2373,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Mechanical Contractor,,SERV_GP
CN992323SERV_GP,Miljavac Electric Corporation,Miljavac Electric,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Miljavac Electric Corporation'),,,SERV_GP
LV990434SERV_GP,Mill Creek Baptist Church,Mill Creek Baptist Church,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Mill Creek Baptist Church'),,,SERV_GP
NV00122SERV_GP,Millan Enterprises - Billing,Millan Enterprises Billing,Commercial Services,Ambiguous,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
TN992100SERV_GP,Millan Enterprises Llc,Millan Enterprises,Commercial Real Estate,Real Estate Investment,531110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,millanenterprises.com,SERV_GP
DY991163SERV_GP,Millat Industries,Millat Industries,Manufacturing,Precision Machining,332710,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,millatindustries.com,SERV_GP
MILLER-VALENTINMECH_GP,Miller Valentine Group,Miller Valentine Group,Commercial Services,Real estate development/services,5313,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,MECH_GP
DY991012SERV_GP,Miller'S Textile Services,Millers Textile Services,Commercial Services,Textile rental services,8123,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
MILLER TEXTILEMECH_GP,Miller'S Textile Services,Millers Textile Services,Commercial Services,Textile rental services,8123,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,MECH_GP
TN991990SERV_GP,Ministry Brands,Ministry Brands,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Ministry Brands'),,,SERV_GP
MITSUBISHIMECH_GP,Mitsubishi Electric Us Cooling & Heating,Mitsubishi Electric US Cooling and Heating,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Mitsubishi Electric Us Cooling & Heating'),,,MECH_GP
LX990474SERV_GP,"Mitsui Kinzoku Catalysts America, Inc",Mitsui Kinzoku Catalysts America,Manufacturing,Chemical catalysts,325,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
WV990139SERV_GP,Mj Harris Construction Services Llc,Mj Harris Construction Services,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Mj Harris Construction Services Llc'),,,SERV_GP
ML BARNARDMECH_GP,Ml Barnard Inc.,Ml Barnard,Construction,Commercial Contractor,236220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,mlbarnard.com,MECH_GP
DY991014SERV_GP,Mobejoe Holdings Llc,Mobejoe Holdings,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Mobejoe Holdings Llc'),,,SERV_GP
IN990387SERV_GP,"Modernfold, Inc",Modernfold,Individual / Misc,,,Rule-Based,,High,"Matched personal-name pattern; Deterministic keyword/pattern match (evidence: 'Modernfold, Inc')",,,SERV_GP
NV00137SERV_GP,Moeller Precision Tool,Moeller Precision Tool,Manufacturing,Precision machining,3327,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
TN992231SERV_GP,Momentum Inc,Momentum,Construction,Design-Build Firm,541310,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,momentumbuilds.com,SERV_GP
LV990521SERV_GP,Monaire Inc,Monaire,Manufacturing,HVAC Tech / Cleantech,333415,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,monaire.ai,SERV_GP
IN990386SERV_GP,Mondelez Global Llc,Mondelez Global,Manufacturing,Food manufacturing,311,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
CN992143SERV_GP,Monoprice,Monoprice,Commercial Services,E-commerce retail,4541,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Hospitality,,SERV_GP
TN992111SERV_GP,Monroe County Justice Center,Monroe County Justice Center,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Monroe County Justice Center'),,,SERV_GP
MONSTER GOLFMECH_GP,Monster Golf,Monster Golf,Commercial Services,Recreation/entertainment,7139,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,MECH_GP
CN940169SERV_GP,Montgomery Animal Hospital,Montgomery Animal Hospital,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Montgomery Animal Hospital'),,,SERV_GP
CN991537SERV_GP,Montgomery Community Baptist Church Montgomery Road,Montgomery Community Baptist Church Montgomery Road,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Montgomery Community Baptist Church Montgomery Road'),,,SERV_GP
MONTGOMERY COMMMECH_GP,Montgomery Community Church,Montgomery Community Church,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Montgomery Community Church'),,,MECH_GP
MONT EDUCATIONMECH_GP,Montgomery County Education Center,Montgomery County Education Center,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Montgomery County Education Center'),,,MECH_GP
WV980032SERV_GP,Montgomery General Hospital,Montgomery General Hospital,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Montgomery General Hospital'),,,SERV_GP
TN991790SERV_GP,Moonshine Mountain Cookie Company,Moonshine Mountain Cookie,Commercial Services,Food service/retail,7225,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Hospitality,,SERV_GP
LX990447SERV_GP,More Than A Bakery,More Than a Bakery,Commercial Services,Bakery/food service,7225,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,SERV_GP
LX990494SERV_GP,Morehead Utility Plant Board Water Treament Plant,Morehead Utility Plant Board Water Treament Plant,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Morehead Utility Plant Board Water Treament Plant'),,,SERV_GP
IN990147SERV_GP,Morgan County Administration Bulding,Morgan County IN,Municipal / Local Government,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
MORGAN COUNTYMECH_GP,Morgan County Board Of Commissioners,Morgan County IN,Municipal / Local Government,,,Manual Override,Final,High,Human-reviewed override,,,MECH_GP
LV200014SERV_GP,Morgan Foods Inc.,Morgan Foods,Manufacturing,Food manufacturing,311,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
IN030015SERV_GP,Morning Pointe,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
NV00005SERV_GP,Morning Pointe - Franklin,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
NV00077SERV_GP,Morning Pointe - Lantern,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
TN991655SERV_GP,Morning Pointe Of Brentwood,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
TN991659SERV_GP,Morning Pointe Of Clinton,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
TN991656SERV_GP,Morning Pointe Of Columbia,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
TN991660SERV_GP,Morning Pointe Of Greenville,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
TN992144SERV_GP,Morning Pointe Of Hardin Valley,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
TN991966SERV_GP,Morning Pointe Of Knoxville,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
TN991657SERV_GP,Morning Pointe Of Lenoir City,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
TN991661SERV_GP,Morning Pointe Of Lenoir City - The Lantern,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
TN991658SERV_GP,Morning Pointe Of Powell,Morning Pointe,Healthcare / Senior Living,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
